,source,target,direction,intensity,lang_usage
0,1,36,out,0,0
1,1,35,out,3,0
2,1,3,out,2,0
3,1,33,out,0,0
4,1,23,out,0,0
5,1,40,out,1,0
6,1,21,out,1,0
7,1,15,out,0,0
8,1,29,out,1,0
9,1,9,out,0,0
10,1,4,out,1,0
11,1,18,out,3,0
12,1,8,out,5,0
13,1,6,out,2,0
14,1,12,out,1,0
15,1,2,in,5,0
16,1,11,out,2,0
17,1,26,out,2,0
18,1,30,in,5,0
19,1,28,out,2,0
20,1,32,out,1,0
21,1,10,out,4,0
22,1,7,out,1,0
23,1,16,out,0,0
24,1,39,out,4,0
25,1,38,out,0,0
26,1,24,in,5,0
27,1,34,in,4,0
28,1,27,out,2,0
29,1,25,in,5,0
30,1,20,out,2,0
31,1,31,in,5,0
32,1,17,out,2,0
33,1,22,out,0,0
34,1,19,out,3,0
35,1,14,in,5,0
36,1,37,out,0,0
37,1,5,in,3,0
38,1,41,out,0,0
39,1,13,out,1,0
40,2,1,out,4,5
41,2,35,in,3,3
42,2,3,in,3,0
43,2,33,in,2,0
44,2,40,in,1,0
45,2,15,in,1,0
46,2,29,out,3,0
47,2,9,in,1,0
48,2,4,in,4,2
49,2,18,out,0,0
50,2,8,out,1,0
51,2,6,out,5,7
52,2,12,out,1,0
53,2,11,in,2,0
54,2,26,out,1,0
55,2,30,in,3,5
56,2,28,in,4,4
57,2,32,in,1,0
58,2,10,out,2,0
59,2,7,out,1,0
60,2,16,out,1,0
61,2,39,in,4,3
62,2,38,out,1,0
63,2,24,in,3,0
64,2,27,out,1,0
65,2,25,in,1,0
66,2,20,out,1,0
67,2,31,in,3,6
68,2,17,out,1,0
69,2,19,in,3,4
70,2,14,in,3,4
71,2,37,in,3,0
72,2,5,in,1,0
73,2,13,in,1,0
74,3,36,in,2,7
75,3,1,out,2,5
76,3,35,in,5,2
77,3,33,out,3,5
78,3,23,out,0,5
79,3,40,out,4,7
80,3,21,out,4,6
81,3,15,in,5,3
82,3,29,in,1,5
83,3,9,out,1,5
84,3,4,in,1,8
85,3,18,out,4,5
86,3,8,out,4,8
87,3,6,in,2,5
88,3,12,out,3,7
89,3,2,in,2,4
90,3,11,in,2,6
91,3,26,out,4,6
92,3,30,out,2,5
93,3,28,out,1,5
94,3,32,in,5,3
95,3,10,in,2,5
96,3,7,out,1,5
97,3,16,out,1,6
98,3,39,out,1,7
99,3,38,out,0,2
100,3,24,in,2,6
101,3,34,in,2,6
102,3,27,in,5,4
103,3,25,out,4,8
104,3,20,out,4,8
105,3,31,out,2,7
106,3,17,out,3,5
107,3,22,out,3,5
108,3,19,in,2,4
109,3,14,in,2,5
110,3,37,in,3,5
111,3,5,in,3,3
112,3,41,out,1,6
113,3,13,out,4,7
114,4,40,mutual,5,3
115,5,36,out,1,0
116,5,1,out,3,0
117,5,35,mutual,3,0
118,5,3,out,5,0
119,5,33,mutual,3,0
120,5,23,in,3,0
121,5,40,out,5,0
122,5,15,mutual,5,0
123,5,29,mutual,4,0
124,5,9,out,2,0
125,5,4,in,2,0
126,5,18,out,4,0
127,5,8,out,2,0
128,5,6,out,1,0
129,5,12,out,5,4
130,5,2,out,2,0
131,5,11,in,4,0
132,5,26,out,5,3
133,5,30,out,2,0
134,5,28,out,3,0
135,5,32,mutual,5,0
136,5,10,out,4,0
137,5,16,out,1,0
138,5,39,mutual,1,0
139,5,38,in,2,0
140,5,24,in,3,0
141,5,34,mutual,3,0
142,5,27,out,5,0
143,5,25,mutual,5,0
144,5,20,mutual,3,0
145,5,31,out,1,0
146,5,17,out,2,0
147,5,22,mutual,5,0
148,5,19,in,4,0
149,5,14,in,4,0
150,5,37,mutual,1,0
151,5,41,out,5,5
152,5,13,out,5,1
153,6,40,mutual,5,4
154,7,33,in,4,5
155,7,40,in,2,0
156,7,21,in,5,2
157,7,15,in,1,0
158,7,9,in,1,0
159,7,11,in,1,0
160,7,38,out,4,3
161,7,34,in,2,0
162,7,27,in,1,0
163,7,25,in,2,0
164,7,20,in,2,0
165,7,17,in,3,0
166,7,14,in,3,0
167,7,37,in,4,5
168,7,41,in,2,0
169,8,40,mutual,5,5
170,9,36,in,4,4
171,9,1,out,2,0
172,9,35,in,1,0
173,9,3,in,1,0
174,9,33,in,1,0
175,9,23,out,4,2
176,9,40,out,2,0
177,9,21,out,1,0
178,9,29,out,1,0
179,9,8,out,2,0
180,9,6,out,1,0
181,9,12,out,2,2
182,9,2,in,3,0
183,9,11,out,4,4
184,9,26,in,2,3
185,9,28,out,1,0
186,9,32,in,4,5
187,9,10,in,3,0
188,9,7,out,2,0
189,9,39,in,3,4
190,9,38,out,4,0
191,9,24,in,5,2
192,9,34,in,4,3
193,9,25,out,3,0
194,9,20,in,3,0
195,9,31,out,1,0
196,9,22,out,1,0
197,9,19,out,1,0
198,9,14,in,4,0
199,9,37,in,1,0
200,9,5,in,2,2
201,9,41,in,5,2
202,9,13,out,3,0
203,10,36,in,3,5
204,10,1,in,3,4
205,10,35,in,0,0
206,10,3,in,1,0
207,10,33,in,1,0
208,10,23,out,2,3
209,10,40,in,1,0
210,10,21,in,1,0
211,10,15,in,0,0
212,10,29,in,2,5
213,10,9,out,3,6
214,10,4,in,1,0
215,10,18,out,3,6
216,10,8,in,3,2
217,10,6,in,2,2
218,10,12,out,1,0
219,10,2,in,1,0
220,10,11,in,2,5
221,10,26,in,1,0
222,10,30,in,2,0
223,10,28,in,1,0
224,10,32,in,3,7
225,10,7,out,1,0
226,10,16,out,3,7
227,10,39,in,2,6
228,10,38,out,1,0
229,10,24,out,4,6
230,10,34,out,3,5
231,10,27,in,2,4
232,10,25,in,2,0
233,10,20,out,3,4
234,10,31,in,0,0
235,10,17,in,0,0
236,10,22,out,0,0
237,10,19,in,1,3
238,10,14,in,3,4
239,10,37,in,2,4
240,10,5,out,2,2
241,10,41,in,2,3
242,10,13,in,1,0
243,12,36,in,1,0
244,12,1,in,2,0
245,12,35,mutual,4,0
246,12,3,mutual,5,0
247,12,33,mutual,3,0
248,12,23,in,2,0
249,12,40,mutual,5,1
250,12,21,in,1,0
251,12,15,in,0,0
252,12,29,mutual,4,0
253,12,9,mutual,3,0
254,12,4,mutual,1,0
255,12,18,mutual,5,1
256,12,8,in,1,0
257,12,6,in,2,0
258,12,2,in,1,0
259,12,11,in,2,0
260,12,26,mutual,5,1
261,12,30,in,1,0
262,12,28,in,1,0
263,12,32,mutual,5,1
264,12,10,mutual,3,0
265,12,7,out,2,0
266,12,16,in,0,0
267,12,39,in,2,0
268,12,38,mutual,3,0
269,12,24,mutual,3,0
270,12,34,mutual,4,0
271,12,27,mutual,5,1
272,12,25,mutual,4,0
273,12,20,in,2,0
274,12,31,in,1,0
275,12,17,in,2,0
276,12,22,mutual,5,1
277,12,19,in,2,0
278,12,14,mutual,4,0
279,12,37,in,1,0
280,12,5,mutual,5,0
281,12,41,mutual,4,1
282,12,13,mutual,4,0
283,13,36,out,4,0
284,13,1,out,3,0
285,13,35,in,4,0
286,13,3,in,4,0
287,13,33,in,2,0
288,13,23,out,3,0
289,13,40,out,4,0
290,13,15,in,1,0
291,13,29,out,4,0
292,13,9,out,3,0
293,13,4,in,2,0
294,13,18,out,4,0
295,13,8,out,4,0
296,13,6,in,1,0
297,13,12,in,3,0
298,13,2,in,1,0
299,13,11,in,4,0
300,13,26,in,4,0
301,13,30,out,3,0
302,13,28,out,4,0
303,13,32,in,4,0
304,13,10,out,2,0
305,13,16,out,2,0
306,13,39,in,2,0
307,13,24,out,4,0
308,13,34,in,2,0
309,13,27,in,4,0
310,13,25,out,4,0
311,13,20,in,5,0
312,13,31,out,3,0
313,13,17,out,4,0
314,13,22,in,4,0
315,13,19,out,4,0
316,13,14,in,3,0
317,13,37,out,3,0
318,13,5,in,5,0
319,14,1,in,5,4
320,14,35,in,4,5
321,14,3,in,2,1
322,14,33,in,2,0
323,14,23,out,1,0
324,14,40,in,4,2
325,14,21,in,2,0
326,14,29,in,2,1
327,14,9,in,5,1
328,14,4,out,2,1
329,14,18,in,3,1
330,14,8,out,4,3
331,14,6,in,3,4
332,14,12,in,4,0
333,14,2,in,4,6
334,14,11,in,2,1
335,14,26,in,4,1
336,14,30,in,5,7
337,14,28,in,4,5
338,14,32,in,1,0
339,14,10,in,2,1
340,14,7,out,1,0
341,14,39,in,4,5
342,14,38,in,1,0
343,14,24,in,3,0
344,14,34,in,2,1
345,14,27,in,3,1
346,14,25,in,3,1
347,14,20,in,3,1
348,14,31,in,4,6
349,14,17,in,3,0
350,14,22,in,1,0
351,14,19,in,3,3
352,14,37,out,1,0
353,14,5,in,4,1
354,14,41,out,3,0
355,14,13,out,1,0
356,15,40,mutual,5,3
357,18,36,out,5,2
358,18,1,in,3,0
359,18,35,in,1,0
360,18,3,in,3,0
361,18,33,in,1,0
362,18,23,in,1,5
363,18,40,in,3,0
364,18,29,in,1,0
365,18,9,in,3,4
366,18,4,in,1,0
367,18,8,in,2,0
368,18,6,in,1,0
369,18,12,in,4,0
370,18,2,in,1,0
371,18,11,out,5,2
372,18,26,in,3,0
373,18,30,in,2,0
374,18,28,in,3,0
375,18,32,in,4,0
376,18,10,in,3,4
377,18,16,out,5,0
378,18,39,in,1,0
379,18,24,in,1,0
380,18,34,in,1,0
381,18,27,in,2,0
382,18,25,in,2,0
383,18,31,in,1,0
384,18,17,in,1,0
385,18,22,in,5,0
386,18,19,in,1,0
387,18,14,in,3,0
388,18,37,in,1,0
389,18,5,in,3,0
390,18,41,in,1,0
391,18,13,in,3,0
392,19,1,in,4,3
393,19,35,in,4,3
394,19,3,in,2,0
395,19,33,in,4,0
396,19,23,in,1,0
397,19,40,in,2,0
398,19,21,in,1,0
399,19,29,in,5,0
400,19,9,out,2,0
401,19,4,in,2,0
402,19,18,in,2,0
403,19,8,in,2,0
404,19,6,out,5,2
405,19,12,in,2,0
406,19,2,out,5,3
407,19,11,in,2,0
408,19,26,in,2,0
409,19,30,out,3,3
410,19,28,in,4,3
411,19,32,in,3,0
412,19,10,in,2,0
413,19,7,out,2,0
414,19,39,out,5,3
415,19,38,out,1,0
416,19,24,in,2,0
417,19,27,out,3,0
418,19,25,in,2,0
419,19,20,out,1,0
420,19,31,out,4,3
421,19,17,out,2,0
422,19,22,in,1,0
423,19,14,in,4,2
424,19,37,out,4,0
425,19,5,in,2,0
426,19,41,in,2,0
427,19,13,out,3,0
428,20,36,out,0,0
429,20,1,in,1,0
430,20,35,out,2,0
431,20,3,in,3,3
432,20,33,in,3,0
433,20,23,in,1,0
434,20,40,out,3,4
435,20,21,in,4,1
436,20,15,in,1,0
437,20,29,out,2,0
438,20,9,out,2,0
439,20,18,out,0,0
440,20,8,out,2,4
441,20,12,out,1,0
442,20,2,out,1,0
443,20,11,in,1,0
444,20,26,out,1,0
445,20,30,out,0,0
446,20,28,out,1,0
447,20,32,out,1,0
448,20,10,out,3,0
449,20,7,out,4,2
450,20,16,out,0,0
451,20,39,out,0,0
452,20,38,in,2,0
453,20,24,in,5,0
454,20,34,out,4,3
455,20,27,in,2,0
456,20,25,out,5,2
457,20,31,out,0,0
458,20,17,out,1,0
459,20,22,out,1,0
460,20,19,out,0,0
461,20,14,in,5,0
462,20,37,in,2,0
463,20,5,in,0,0
464,20,41,out,3,0
465,20,13,out,0,0
466,21,1,out,1,0
467,21,3,in,2,4
468,21,40,mutual,5,6
469,21,9,out,3,1
470,21,4,out,3,0
471,21,8,out,3,1
472,21,12,mutual,1,2
473,21,10,out,3,1
474,21,7,out,5,1
475,22,36,mutual,5,3
476,22,1,in,2,0
477,22,35,in,4,1
478,22,3,in,4,1
479,22,33,mutual,1,1
480,22,23,mutual,3,2
481,22,40,mutual,5,2
482,22,21,mutual,1,0
483,22,15,mutual,3,1
484,22,29,in,2,0
485,22,9,in,2,1
486,22,4,in,1,0
487,22,18,mutual,5,2
488,22,8,in,1,0
489,22,6,in,1,1
490,22,12,mutual,5,4
491,22,2,in,1,0
492,22,11,in,3,1
493,22,26,mutual,5,5
494,22,30,in,1,0
495,22,28,in,1,1
496,22,32,mutual,4,2
497,22,10,in,2,1
498,22,7,in,2,1
499,22,16,mutual,3,1
500,22,39,mutual,1,0
501,22,38,in,3,2
502,22,24,in,2,1
503,22,34,in,3,1
504,22,27,mutual,4,2
505,22,25,mutual,5,2
506,22,20,in,3,0
507,22,31,in,1,0
508,22,17,in,1,0
509,22,19,in,1,0
510,22,14,in,3,1
511,22,37,in,1,1
512,22,5,mutual,5,4
513,22,41,in,4,4
514,22,13,in,4,1
515,23,40,mutual,5,7
516,23,22,mutual,4,0
517,24,36,out,0,0
518,24,1,out,4,1
519,24,35,out,0,0
520,24,3,in,1,0
521,24,33,out,3,0
522,24,23,in,3,0
523,24,40,in,2,0
524,24,21,in,2,0
525,24,15,out,0,0
526,24,29,out,4,2
527,24,9,out,4,2
528,24,4,out,1,1
529,24,18,in,1,1
530,24,8,out,1,1
531,24,6,in,1,0
532,24,12,out,1,0
533,24,2,out,2,0
534,24,11,in,2,0
535,24,26,in,2,0
536,24,28,in,2,0
537,24,32,in,1,0
538,24,10,in,5,3
539,24,7,out,1,0
540,24,16,out,0,0
541,24,39,in,2,0
542,24,38,in,3,0
543,24,34,out,5,2
544,24,27,in,3,3
545,24,25,in,2,0
546,24,20,in,3,0
547,24,31,out,1,0
548,24,17,in,2,2
549,24,22,out,0,0
550,24,19,in,2,0
551,24,14,in,2,0
552,24,37,in,1,1
553,24,5,in,2,0
554,24,41,out,4,2
555,24,13,out,3,2
556,25,36,out,1,0
557,25,1,out,2,2
558,25,35,in,2,0
559,25,3,in,4,7
560,25,23,in,2,0
561,25,40,in,2,2
562,25,15,out,1,0
563,25,29,in,2,2
564,25,9,out,3,3
565,25,4,in,2,1
566,25,8,out,2,7
567,25,6,out,1,1
568,25,12,out,2,0
569,25,2,out,1,0
570,25,11,out,2,1
571,25,26,out,2,0
572,25,30,out,1,0
573,25,28,out,1,5
574,25,32,in,2,2
575,25,10,out,2,0
576,25,7,out,2,2
577,25,16,out,1,0
578,25,39,out,1,0
579,25,38,in,1,0
580,25,24,in,3,1
581,25,34,out,4,1
582,25,27,in,5,1
583,25,25,out,5,5
584,25,20,in,3,7
585,25,31,in,1,0
586,25,17,out,2,0
587,25,22,out,4,0
588,25,14,out,3,1
589,25,37,out,1,0
590,25,5,out,3,0
591,25,41,in,3,1
592,25,13,in,2,0
593,26,40,mutual,5,8
594,27,40,mutual,5,9
595,28,36,in,1,0
596,28,1,out,1,5
597,28,35,out,3,0
598,28,3,in,2,2
599,28,33,in,1,0
600,28,40,in,2,0
601,28,21,in,1,0
602,28,29,in,2,3
603,28,9,in,1,0
604,28,4,out,2,0
605,28,18,out,2,3
606,28,8,out,1,0
607,28,6,in,3,5
608,28,12,in,1,0
609,28,2,in,3,4
610,28,11,out,4,0
611,28,26,in,3,0
612,28,30,out,2,5
613,28,32,out,1,0
614,28,10,in,1,0
615,28,7,out,1,0
616,28,16,out,2,2
617,28,39,in,3,5
618,28,24,in,1,0
619,28,34,out,1,0
620,28,27,out,1,0
621,28,25,in,1,0
622,28,20,in,1,0
623,28,31,in,2,5
624,28,17,out,2,3
625,28,19,in,3,6
626,28,14,out,3,3
627,28,37,mutual,3,5
628,28,5,in,1,0
629,28,41,in,1,0
630,28,13,out,1,0
631,29,1,out,1,0
632,29,35,out,2,0
633,29,3,out,1,0
634,29,33,in,4,1
635,29,23,in,1,0
636,29,40,in,2,0
637,29,21,in,1,0
638,29,15,out,2,0
639,29,9,in,2,0
640,29,4,in,3,0
641,29,18,in,1,0
642,29,8,out,1,0
643,29,6,out,4,0
644,29,12,in,2,0
645,29,2,in,4,1
646,29,11,mutual,1,0
647,29,26,in,2,0
648,29,30,out,1,0
649,29,28,in,2,0
650,29,32,out,1,0
651,29,10,in,2,0
652,29,7,out,1,0
653,29,39,out,4,1
654,29,24,out,4,1
655,29,34,in,4,1
656,29,27,out,3,1
657,29,25,out,3,1
658,29,20,out,1,0
659,29,31,out,1,0
660,29,17,out,2,0
661,29,19,out,5,1
662,29,14,in,2,1
663,29,37,in,3,1
664,29,5,out,3,0
665,29,41,in,2,0
666,29,13,out,3,1
667,30,1,mutual,3,1
668,30,35,mutual,4,0
669,30,3,out,2,0
670,30,23,out,1,0
671,30,40,mutual,5,0
672,30,21,in,1,0
673,30,29,out,1,0
674,30,9,out,1,0
675,30,4,mutual,4,0
676,30,18,out,1,0
677,30,8,out,2,0
678,30,6,out,3,0
679,30,2,out,2,1
680,30,11,out,4,0
681,30,26,in,1,0
682,30,28,in,3,0
683,30,32,mutual,1,0
684,30,39,in,2,1
685,30,24,out,2,0
686,30,27,out,1,0
687,30,25,in,1,0
688,30,17,mutual,4,2
689,30,19,mutual,3,0
690,30,14,in,4,2
691,30,37,out,2,0
692,30,5,in,1,0
693,30,13,out,1,0
694,31,1,in,3,2
695,31,35,in,3,0
696,31,3,out,2,0
697,31,33,out,1,0
698,31,23,in,1,0
699,31,40,mutual,5,3
700,31,21,in,1,3
701,31,15,in,1,0
702,31,29,out,1,0
703,31,9,mutual,1,0
704,31,4,mutual,5,1
705,31,8,out,2,3
706,31,6,mutual,3,1
707,31,2,out,4,0
708,31,11,mutual,3,3
709,31,30,mutual,3,1
710,31,28,in,3,2
711,31,39,in,2,0
712,31,24,out,2,0
713,31,27,out,1,0
714,31,25,in,1,0
715,31,17,mutual,4,2
716,31,19,in,4,0
717,31,14,in,4,2
718,31,37,in,2,0
719,31,5,in,1,0
720,31,41,in,1,0
721,31,13,in,1,0
722,32,36,in,2,9
723,32,35,mutual,5,0
