,source,target,weight,intensity,lang_usage
14,3,25,0.2,4.0,7.0
19,5,26,0.6,5.0,7.0
35,8,3,0.4,3.0,5.0
60,14,30,0.8,5.0,5.0
105,25,40,1.0,4.0,5.0
107,25,20,0.8,3.0,5.0
111,26,40,0.8,5.0,6.0
120,28,16,0.8,5.0,5.0
141,33,37,1.0,5.0,5.0
144,33,7,0.2,5.0,6.0
156,36,16,0.8,5.0,5.0
159,37,33,1.0,5.0,5.0
160,37,39,0.4,3.0,5.0
164,38,34,1.0,5.0,5.0
165,38,37,0.4,4.0,5.0
166,38,9,0.8,5.0,5.0
167,38,7,0.2,4.0,5.0
169,39,19,1.0,5.0,6.0
170,39,6,0.4,5.0,7.0
171,39,37,0.8,4.0,6.0
172,39,14,0.2,4.0,7.0
174,40,26,1.0,5.0,5.0
