,source,target,weight,intensity,lang_usage
7,2,28,0.4,4.0,5.0
10,3,35,0.6,2.0,6.0
11,3,32,1.0,3.0,5.0
18,4,17,0.8,5.0,5.0
19,4,15,0.2,0.0,7.0
20,5,12,0.6,5.0,7.0
25,6,39,0.6,5.0,5.0
28,6,19,0.8,5.0,5.0
30,7,33,0.6,4.0,6.0
32,7,37,0.4,4.0,6.0
38,8,14,0.8,1.0,7.0
84,21,40,0.6,5.0,5.0
101,25,3,0.6,4.0,6.0
102,25,40,1.0,5.0,6.0
114,28,35,0.6,4.0,6.0
115,28,37,1.0,4.0,5.0
118,28,31,0.2,3.0,5.0
151,36,18,0.6,4.0,5.0
153,36,11,0.4,4.0,6.0
155,37,33,0.6,5.0,5.0
163,39,6,0.6,5.0,5.0
164,39,19,1.0,5.0,6.0
165,39,2,0.4,5.0,5.0
169,40,25,1.0,5.0,5.0
