,source,target,weight,intensity,lang_usage
11,3,25,0.2,4.0,7.0
21,5,26,0.6,5.0,7.0
35,8,3,0.4,3.0,5.0
61,14,30,0.8,5.0,5.0
104,25,40,1.0,4.0,5.0
108,25,20,0.8,3.0,5.0
111,26,40,0.8,5.0,6.0
121,28,16,0.8,5.0,5.0
140,33,37,1.0,5.0,5.0
141,33,7,0.2,5.0,6.0
157,36,16,0.8,5.0,5.0
158,37,33,1.0,5.0,5.0
160,37,39,0.4,3.0,5.0
163,38,34,1.0,5.0,5.0
164,38,7,0.2,4.0,5.0
165,38,37,0.4,4.0,5.0
167,38,9,0.8,5.0,5.0
168,39,19,1.0,5.0,6.0
169,39,14,0.2,4.0,7.0
170,39,6,0.4,5.0,7.0
172,39,37,0.8,4.0,6.0
173,40,26,1.0,5.0,5.0
