,source,target,weight,intensity,lang_usage
2,2,39,0.4,4.0,3.0
3,2,19,0.6,3.0,4.0
4,2,28,0.8,4.0,4.0
5,3,32,1.0,5.0,3.0
9,3,27,0.8,5.0,4.0
14,5,12,0.4,5.0,4.0
16,5,26,0.8,5.0,3.0
28,9,34,0.2,4.0,3.0
32,10,23,1.0,2.0,3.0
33,10,27,0.2,2.0,4.0
50,14,1,0.6,5.0,4.0
51,14,8,0.8,4.0,3.0
63,19,2,0.4,5.0,3.0
64,19,39,0.6,5.0,3.0
68,20,34,0.4,4.0,3.0
73,22,5,0.4,5.0,4.0
75,22,36,0.8,5.0,3.0
84,24,10,0.8,5.0,3.0
100,28,2,0.2,3.0,4.0
114,31,11,0.2,3.0,3.0
123,33,37,1.0,5.0,3.0
143,37,39,0.4,4.0,4.0
146,38,7,1.0,5.0,3.0
149,38,33,0.6,5.0,3.0
150,38,37,0.8,5.0,3.0
