,metric_TLuseoutofclass,metric_Gender,metric_postsojournOPI,metric_presojournOPI,metric_level gained,metric_FLcumulativecompetence,metric_general_cumulativecompet,context_learningoutofclassminday,psycho_motivationdegree,psycho_proficiencyingroup_BAL1,interact_classmates,interaction_groupintegration,improv_reading,improv_writing,improv_overall,improv_pron,improv_listening,improv_voc,improv_cult,improv_gmr,in_degree_weighted,in_degree,out_degree_weighted,out_degree,degree_weighted,degree,betweenness_weighted,betweenness,closeness,pagerank_weighhted,pagerank,voterank,clustering_coefficient
1,0.8,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,6.0,12.0,0.08333333333333333,1.0,0.3333333333333333,0.7,0.8,0.6,0.6,0.8,0.6,1.0,1.0,1.0,0.8,1.0,1,1.6,2,2.6,3,0.0017825311942959,0.0017825311942959,0.0392156862745098,0.038371902520012685,0.028715319245321613,8.0,0.0
2,0.9473684210526315,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,3.0,9.0,0.14583333333333334,0.8,0.6666666666666666,0.7,,0.6,0.6,0.4,0.6,0.4,0.6,0.8,0.4,2.8000000000000003,4,2.0,4,4.800000000000001,8,0.014705882352941176,0.0142602495543672,0.12009803921568628,0.08535948238629659,0.09435269651492298,0.0,0.16
3,1.0,male,0.5454545454545454,0.45454545454545453,0.09090909090909091,6.0,12.0,0.125,0.8,0.6666666666666666,0.5,0.6,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.0,0,2.8,4,2.8,4,0.0,0.0,0.0,0.014303236756943418,0.01429170567617501,1.0,0.08333333333333333
4,0.2,female,0.6363636363636364,0.6363636363636364,0.0,3.0,9.0,0.0625,0.6,1.0,0.9,0.8,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.0,0,1.8,2,1.8,2,0.0,0.0,0.0,0.014303236756943418,0.01429170567617501,5.0,0.0
5,0.5555555555555556,male,0.5454545454545454,0.45454545454545453,0.09090909090909091,5.0,11.0,0.20833333333333334,1.0,0.6666666666666666,0.6,1.0,0.8,1.0,1.0,0.6,0.6,1.0,1.0,0.8,0.6,1,0.0,0,0.6,1,0.0,0.0,0.029411764705882353,0.01734266130607543,0.018341004504720614,,0.0
6,0.3333333333333333,female,0.6363636363636364,0.45454545454545453,0.18181818181818182,8.0,14.0,0.08333333333333333,0.8,1.0,0.5,0.4,0.6,0.8,0.6,0.6,0.8,0.4,1.0,0.4,1.7999999999999998,3,0.0,0,1.7999999999999998,3,0.0,0.0,0.12549019607843137,0.059949828679071594,0.06479579193730568,,0.6666666666666666
7,0.3333333333333333,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,6.0,12.0,0.24305555555555555,1.0,0.3333333333333333,0.75,0.6,0.8,0.6,0.6,0.6,0.4,0.8,0.4,0.4,0.8,1,0.0,0,0.8,1,0.0,0.0,0.0392156862745098,0.028388702593489728,0.02415960848012067,,0.0
8,0.21052631578947367,female,0.7272727272727273,0.36363636363636365,0.36363636363636365,8.5,14.5,0.052083333333333336,0.8,1.0,0.75,0.6,0.2,0.8,0.8,0.6,0.4,0.6,1.0,0.0,0.6,1,0.6,1,1.2,2,0.0,0.0,0.0392156862745098,0.028744436214784976,0.028715319245321613,,0.0
9,0.9473684210526315,female,0.45454545454545453,0.36363636363636365,0.09090909090909091,3.0,9.0,0.125,0.6,0.6666666666666666,0.6,0.8,0.6,0.6,0.6,0.6,0.4,0.8,0.8,0.4,1.6,2,0.0,0,1.6,2,0.0,0.0,0.0661764705882353,0.03264652533203938,0.03092914496650919,,0.0
10,,female,0.7272727272727273,0.6363636363636364,0.09090909090909091,7.0,13.0,0.1388888888888889,1.0,1.0,0.75,0.8,0.6,1.0,0.6,0.8,0.6,0.8,0.8,0.8,1.0,1,1.8,2,2.8,3,0.00089126559714795,0.00089126559714795,0.029411764705882353,0.027100932312039985,0.02485519672369079,6.0,0.0
11,0.5,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,12.0,18.0,0.10416666666666667,0.6,0.6666666666666666,0.75,0.8,0.6,0.8,0.6,0.6,0.4,0.4,0.8,0.6,1.2,2,0.0,0,1.2,2,0.0,0.0,0.06722689075630252,0.05146247348159576,0.05110756899931142,,0.0
12,,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,6.0,12.0,0.13194444444444445,1.0,0.3333333333333333,0.4,1.0,0.6,0.8,0.6,0.4,0.6,1.0,0.4,0.8,1.0,1,0.0,0,1.0,1,0.0,0.0,0.029411764705882353,0.01936894433883011,0.018341004504720614,,0.0
14,0.4,male,0.6363636363636364,0.5454545454545454,0.09090909090909091,11.0,17.0,0.08333333333333333,0.8,0.6666666666666666,0.35,0.6,0.8,0.8,0.8,0.6,1.0,0.8,1.0,0.4,1.2,2,1.7999999999999998,3,3.0,5,0.01158645276292335,0.01158645276292335,0.058823529411764705,0.05096362822063251,0.05090197685556029,4.0,0.0
15,,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,3.0,9.0,0.125,0.8,0.3333333333333333,0.8,0.8,0.8,0.6,0.6,0.6,0.8,0.4,0.8,0.2,1.0,1,1.8,2,2.8,3,0.00089126559714795,0.00089126559714795,0.029411764705882353,0.01864527182713201,0.01732867979758421,13.0,0.16666666666666666
16,0.8888888888888888,male,0.5454545454545454,0.45454545454545453,0.09090909090909091,3.0,9.0,0.0763888888888889,0.8,0.3333333333333333,0.65,1.0,0.8,0.8,0.6,0.4,0.8,0.8,0.8,0.6,0.0,0,0.6,1,0.6,1,0.0,0.0,0.0,0.014303236756943418,0.01429170567617501,11.0,0.0
17,0.2727272727272727,female,0.45454545454545453,0.36363636363636365,0.09090909090909091,7.5,13.5,0.125,0.4,0.6666666666666666,0.8,0.6,0.4,0.6,0.8,0.4,0.6,0.8,0.6,0.4,1.8,2,0.0,0,1.8,2,0.0,0.0,0.0661764705882353,0.02851136034319419,0.027730333266529343,,0.0
18,0.5,female,0.6363636363636364,0.6363636363636364,0.0,3.0,9.0,0.06944444444444445,0.8,0.6666666666666666,0.2,0.4,0.8,0.8,0.8,0.6,0.8,1.0,0.8,0.6,0.2,1,0.6,1,0.8,2,0.0017825311942959,0.0017825311942959,0.0392156862745098,0.02941354751467219,0.029021064371246873,14.0,0.0
19,0.6,female,0.6363636363636364,0.5454545454545454,0.09090909090909091,5.0,11.0,0.0625,0.4,1.0,0.7,1.0,0.2,0.6,0.6,0.8,0.2,0.4,0.8,0.6,0.6,1,1.8,3,2.4,4,0.0,0.0,0.08006535947712418,0.03607009164248697,0.03434220827518196,12.0,0.6
20,0.7272727272727273,female,0.5454545454545454,0.36363636363636365,0.18181818181818182,3.0,9.0,0.1111111111111111,0.8,1.0,0.75,,0.6,0.8,0.6,0.6,0.4,0.6,0.8,0.8,0.8,1,2.0,3,2.8,4,0.0017825311942959,0.0017825311942959,0.029411764705882353,0.04142618569141905,0.03482740397074341,2.0,0.0
