,metric_TLuseoutofclass,metric_Gender,metric_postsojournOPI,metric_presojournOPI,metric_level gained,metric_FLcumulativecompetence,metric_general_cumulativecompet,context_learningoutofclassminday,psycho_motivationdegree,psycho_proficiencyingroup_BAL1,interact_classmates,interaction_groupintegration,improv_reading,improv_writing,improv_overall,improv_pron,improv_listening,improv_voc,improv_cult,improv_gmr,in_degree_weighted,in_degree,out_degree_weighted,out_degree,degree_weighted,degree,betweenness_weighted,betweenness,closeness,pagerank_weighhted,pagerank,voterank,clustering_coefficient
1,0.34210526315789475,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,6.0,12.0,0.08333333333333333,1.0,0.3333333333333333,0.3,1.0,0.8,0.8,1.0,1.0,1.0,0.6,1.0,0.8,0.6,1,0.0,0,0.6,1,0.0,0.0,0.038461538461538464,0.029359416323490147,0.03088739162465388,,0.0
2,0.8571428571428571,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,3.0,9.0,0.0625,0.8,0.6666666666666666,0.33,0.8,0.6,0.6,0.6,0.4,0.6,0.6,0.8,0.6,0.6000000000000001,2,1.8,3,2.4000000000000004,5,0.004615384615384615,0.004615384615384615,0.07692307692307693,0.08090026407982955,0.07720071568473129,0.0,0.125
3,1.0,male,0.5454545454545454,0.45454545454545453,0.09090909090909091,6.0,12.0,0.08333333333333333,0.8,0.6666666666666666,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0,1.8,2,1.8,2,0.0,0.0,0.0,0.02151996333230363,0.02167535609149763,2.0,0.0
5,0.4,male,0.5454545454545454,0.45454545454545453,0.09090909090909091,5.0,11.0,0.125,0.8,0.6666666666666666,0.7,1.0,0.6,0.8,0.6,0.6,1.0,0.4,1.0,0.6,0.4,1,1.2000000000000002,2,1.6,3,0.003076923076923077,0.003076923076923077,0.038461538461538464,0.02761731565878203,0.03088739162465388,3.0,0.0
7,0.3333333333333333,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,6.0,12.0,0.1736111111111111,1.0,0.6666666666666666,0.6,0.6,0.6,0.6,0.6,0.4,0.6,0.8,0.4,0.4,1.0,1,0.0,0,1.0,1,0.0,0.0,0.038461538461538464,0.02914165374040163,0.027816713113601798,,0.0
8,0.25,female,0.7272727272727273,0.36363636363636365,0.36363636363636365,8.5,14.5,0.05555555555555555,0.8,0.6666666666666666,0.7,0.8,0.4,0.8,0.8,0.6,0.6,0.8,1.0,0.2,0.8,1,0.0,0,0.8,1,0.0,0.0,0.038461538461538464,0.031972567320552314,0.03088739162465388,,0.0
9,0.972972972972973,female,0.45454545454545453,0.36363636363636365,0.09090909090909091,3.0,9.0,0.1388888888888889,0.8,0.6666666666666666,0.5,0.6,0.6,0.4,0.6,0.4,0.6,0.8,0.8,0.4,0.0,0,0.2,1,0.2,1,0.0,0.0,0.0,0.02151996333230363,0.02167535609149763,5.0,0.0
10,,female,0.7272727272727273,0.6363636363636364,0.09090909090909091,7.0,13.0,0.10416666666666667,,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.6,1.0,0.8,0.6,0.8,1,1.2,2,2.0,3,0.003076923076923077,0.003076923076923077,0.038461538461538464,0.03981202031173883,0.04009942715781014,6.0,0.0
11,0.6,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,12.0,18.0,0.08333333333333333,,0.6666666666666666,0.75,0.8,0.6,0.6,0.4,0.4,0.6,0.6,0.6,0.2,0.2,1,0.0,0,0.2,1,0.0,0.0,0.038461538461538464,0.03981202031173883,0.04009942715781014,,0.0
12,0.42857142857142855,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,6.0,12.0,0.06944444444444445,1.0,0.3333333333333333,0.33,1.0,0.6,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.4,1,0.0,0,0.4,1,0.0,0.0,0.05128205128205128,0.02934490823283174,0.03480254061863258,,0.0
14,,male,0.6363636363636364,0.5454545454545454,0.09090909090909091,11.0,17.0,,,,,,,,,,,,,,0.0,0,1.4,2,1.4,2,0.0,0.0,0.0,0.02151996333230363,0.02167535609149763,4.0,0.0
19,0.5,female,0.6363636363636364,0.5454545454545454,0.09090909090909091,5.0,11.0,0.0625,0.4,0.3333333333333333,0.7,1.0,0.2,0.4,0.2,0.0,0.2,0.0,0.6,0.0,0.6,1,1.0,2,1.6,3,0.0,0.0,0.05128205128205128,0.044439061591654054,0.04354657115143888,,0.5
20,0.3333333333333333,female,0.5454545454545454,0.36363636363636365,0.18181818181818182,3.0,9.0,0.1111111111111111,0.8,,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.6,0.2,0.0,0,0.4,1,0.4,1,0.0,0.0,0.0,0.02151996333230363,0.02167535609149763,,0.0
22,0.25,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,5.0,14.0,0.10416666666666667,1.0,0.6666666666666666,0.66,0.8,0.8,0.6,0.6,1.0,1.0,0.8,0.8,0.6,0.0,0,1.2000000000000002,2,1.2000000000000002,2,0.0,0.0,0.0,0.02151996333230363,0.02167535609149763,7.0,0.0
23,1.0,female,0.6363636363636364,0.5454545454545454,0.09090909090909091,8.0,14.0,0.1388888888888889,0.8,1.0,,,0.6,0.4,0.6,0.6,0.8,0.4,0.8,0.6,1.0,1,0.0,0,1.0,1,0.0,0.0,0.05128205128205128,0.04972028845387245,0.03871768961261128,,0.0
24,1.0,male,0.7272727272727273,0.5454545454545454,0.18181818181818182,3.0,9.0,0.08333333333333333,0.6,0.6666666666666666,0.6,0.8,0.6,0.2,0.6,0.6,1.0,0.8,0.8,0.4,0.0,0,0.8,1,0.8,1,0.0,0.0,0.0,0.02151996333230363,0.02167535609149763,,0.0
26,0.875,female,0.7272727272727273,0.5454545454545454,0.18181818181818182,12.0,18.0,0.08333333333333333,0.4,0.6666666666666666,0.75,0.8,0.6,0.4,0.6,0.4,0.6,0.6,0.8,0.0,0.8,1,0.0,0,0.8,1,0.0,0.0,0.05128205128205128,0.03716985313335985,0.03480254061863258,,0.0
27,0.42857142857142855,male,0.5454545454545454,0.45454545454545453,0.09090909090909091,6.0,12.0,0.06944444444444445,1.0,0.3333333333333333,0.18,0.8,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.8,1.0,2,0.0,0,1.0,2,0.0,0.0,0.08653846153846154,0.03528983145858859,0.047929725145767536,,0.0
28,0.4,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,5.0,11.0,0.10416666666666667,1.0,0.3333333333333333,0.15,0.8,1.0,0.6,0.8,0.8,1.0,0.8,0.8,1.0,0.8,1,0.2,1,1.0,2,0.0,0.0,0.05128205128205128,0.05207876101143753,0.04354657115143888,,0.0
31,,female,0.6363636363636364,0.5454545454545454,0.09090909090909091,8.0,14.0,0.08333333333333333,1.0,,0.7,1.0,0.6,0.4,1.0,0.6,1.0,0.6,1.0,0.6,0.0,0,0.2,1,0.2,1,0.0,0.0,0.0,0.02151996333230363,0.02167535609149763,8.0,0.0
32,0.3333333333333333,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,9.0,15.0,0.041666666666666664,0.8,0.3333333333333333,0.95,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0,1.0,1,0.0,0.0,0.038461538461538464,0.03168221720976763,0.03088739162465388,,0.0
33,0.9375,male,0.8181818181818182,0.5454545454545454,0.2727272727272727,13.0,19.0,0.18055555555555555,0.6,0.3333333333333333,0.75,0.8,0.0,0.2,0.4,0.8,0.6,0.2,0.4,0.2,0.6,1,1.0,1,1.6,2,0.0,0.0,0.038461538461538464,0.02609297757716243,0.027816713113601798,,0.5
