,source,target,weight,intensity,lang_usage
5,2,28,0.4,4.0,5.0
6,2,39,1.0,5.0,4.0
7,2,19,0.2,5.0,4.0
8,2,6,0.8,4.0,3.0
10,3,25,0.4,2.0,4.0
11,3,32,1.0,3.0,5.0
12,3,26,0.2,3.0,8.0
13,3,27,0.8,2.0,8.0
14,3,35,0.6,2.0,6.0
16,4,31,1.0,3.0,3.0
17,4,15,0.2,0.0,7.0
18,4,17,0.8,5.0,5.0
19,4,29,0.6,4.0,4.0
24,5,12,0.6,5.0,7.0
26,6,2,1.0,5.0,3.0
28,6,19,0.8,5.0,5.0
29,6,39,0.6,5.0,5.0
30,7,37,0.4,4.0,6.0
31,7,21,1.0,5.0,3.0
34,7,33,0.6,4.0,6.0
36,8,1,1.0,5.0,3.0
37,8,14,0.8,1.0,7.0
38,8,30,0.6,5.0,3.0
41,9,10,0.2,5.0,3.0
45,10,24,1.0,5.0,3.0
58,14,28,0.4,2.0,4.0
59,14,1,1.0,4.0,4.0
60,14,2,0.2,3.0,3.0
61,14,30,0.8,4.0,4.0
62,14,8,0.6,4.0,4.0
68,16,36,1.0,3.0,3.0
69,16,28,0.8,3.0,4.0
70,16,11,0.6,2.0,4.0
77,19,29,1.0,5.0,4.0
79,19,39,0.8,5.0,3.0
81,20,21,1.0,5.0,3.0
82,20,7,0.8,5.0,3.0
84,21,7,1.0,5.0,4.0
86,21,40,0.6,5.0,5.0
87,22,26,0.4,5.0,4.0
88,22,5,1.0,5.0,4.0
90,22,12,0.8,5.0,4.0
102,25,40,1.0,5.0,6.0
103,25,27,0.8,5.0,3.0
104,25,3,0.6,4.0,6.0
107,26,5,0.8,5.0,3.0
114,28,16,0.4,4.0,4.0
115,28,37,1.0,4.0,5.0
116,28,31,0.2,3.0,5.0
117,28,2,0.8,4.0,4.0
118,28,35,0.6,4.0,6.0
137,33,37,1.0,4.0,4.0
139,33,7,0.8,3.0,4.0
145,34,29,0.6,5.0,3.0
151,36,11,0.4,4.0,6.0
152,36,16,1.0,5.0,4.0
154,36,18,0.6,4.0,5.0
155,37,28,0.4,3.0,3.0
156,37,2,1.0,5.0,3.0
158,37,39,0.8,5.0,4.0
159,37,33,0.6,5.0,5.0
160,38,34,1.0,5.0,4.0
161,38,9,0.8,5.0,4.0
163,39,2,0.4,5.0,5.0
164,39,19,1.0,5.0,6.0
166,39,29,0.8,4.0,3.0
167,39,6,0.6,5.0,5.0
169,40,25,1.0,5.0,5.0
172,40,26,0.6,4.0,8.0
