,source,target,weight,intensity,lang_usage
0,2,39,0.4,4.0,3.0
1,2,6,1.0,5.0,7.0
3,2,28,0.8,4.0,4.0
4,2,19,0.6,3.0,4.0
5,3,25,0.4,4.0,8.0
6,3,32,1.0,5.0,3.0
7,3,26,0.2,4.0,6.0
8,3,27,0.8,5.0,4.0
13,5,12,0.4,5.0,4.0
15,5,26,0.8,5.0,3.0
29,9,34,0.2,4.0,3.0
33,10,23,1.0,2.0,3.0
34,10,27,0.2,2.0,4.0
35,10,24,0.8,4.0,6.0
36,10,9,0.6,3.0,6.0
47,14,28,0.4,4.0,5.0
48,14,30,1.0,5.0,7.0
49,14,2,0.2,4.0,6.0
50,14,8,0.8,4.0,3.0
51,14,1,0.6,5.0,4.0
61,19,2,0.4,5.0,3.0
65,19,39,0.6,5.0,3.0
66,20,34,0.4,4.0,3.0
72,22,5,0.4,5.0,4.0
74,22,36,0.8,5.0,3.0
83,24,10,0.8,5.0,3.0
85,25,3,0.4,4.0,7.0
89,25,20,0.6,3.0,7.0
91,26,40,1.0,5.0,8.0
96,27,40,0.2,5.0,9.0
101,28,2,0.2,3.0,4.0
102,28,31,0.8,2.0,5.0
103,28,37,0.6,3.0,5.0
115,31,11,0.2,3.0,3.0
124,33,37,1.0,5.0,3.0
138,36,16,1.0,5.0,5.0
141,37,39,0.4,4.0,4.0
145,37,33,0.6,5.0,5.0
147,38,7,1.0,5.0,3.0
148,38,34,0.2,5.0,5.0
149,38,37,0.8,5.0,3.0
150,38,33,0.6,5.0,3.0
151,39,2,0.4,5.0,5.0
152,39,6,1.0,5.0,5.0
154,39,19,0.8,5.0,6.0
155,39,37,0.6,5.0,6.0
