,source,target,weight,intensity,lang_usage
1,1,30,1.0,5.0,4.0
4,1,14,0.6,5.0,3.0
5,2,39,0.4,4.0,3.0
7,2,28,0.2,5.0,3.0
8,2,6,0.8,5.0,3.0
9,2,19,0.6,3.0,3.0
10,3,35,0.4,5.0,4.0
11,3,15,1.0,5.0,3.0
12,3,25,0.2,4.0,7.0
13,3,32,0.8,5.0,4.0
14,3,27,0.6,5.0,3.0
15,4,31,1.0,4.0,4.0
17,4,17,0.8,3.0,4.0
22,5,26,0.6,5.0,7.0
33,8,3,0.4,3.0,5.0
37,8,14,0.6,5.0,3.0
44,10,24,1.0,5.0,3.0
45,10,9,0.8,5.0,3.0
58,14,1,1.0,5.0,4.0
59,14,28,0.2,5.0,4.0
60,14,30,0.8,5.0,5.0
61,14,8,0.6,5.0,4.0
63,15,17,1.0,5.0,3.0
65,15,27,0.8,3.0,3.0
70,16,11,0.6,3.0,4.0
75,18,11,0.6,5.0,3.0
76,19,2,0.4,5.0,3.0
79,19,39,0.8,5.0,4.0
80,19,6,0.6,5.0,3.0
82,20,21,1.0,5.0,3.0
83,20,25,0.2,4.0,3.0
84,20,7,0.8,5.0,3.0
88,21,20,0.8,4.0,3.0
91,22,12,1.0,5.0,4.0
93,22,26,0.8,5.0,4.0
94,22,5,0.6,5.0,4.0
95,23,36,0.4,3.0,4.0
97,23,9,0.8,4.0,3.0
100,24,10,1.0,5.0,4.0
102,24,34,0.8,5.0,3.0
105,25,40,1.0,4.0,5.0
107,25,20,0.8,3.0,5.0
110,26,40,0.8,5.0,6.0
117,28,6,0.4,4.0,4.0
118,28,2,1.0,5.0,3.0
120,28,16,0.8,5.0,5.0
137,32,18,0.2,5.0,3.0
141,33,37,1.0,5.0,5.0
142,33,7,0.2,5.0,6.0
156,36,16,0.8,5.0,5.0
158,37,39,0.4,3.0,5.0
159,37,33,1.0,5.0,5.0
161,37,2,0.8,4.0,4.0
163,38,37,0.4,4.0,5.0
164,38,34,1.0,5.0,5.0
165,38,7,0.2,4.0,5.0
166,38,9,0.8,5.0,5.0
168,39,6,0.4,5.0,7.0
169,39,19,1.0,5.0,6.0
170,39,14,0.2,4.0,7.0
171,39,37,0.8,4.0,6.0
172,39,2,0.6,5.0,4.0
174,40,26,1.0,5.0,5.0
