,source,target,weight
0,1,24,0.4
1,1,30,1.0
2,1,31,0.2
3,1,8,0.8
4,1,14,0.6
5,2,39,0.4
6,2,37,1.0
7,2,28,0.2
8,2,6,0.8
9,2,19,0.6
10,3,35,0.4
11,3,15,1.0
12,3,25,0.2
13,3,32,0.8
14,3,27,0.6
15,4,31,1.0
16,4,29,0.2
17,4,17,0.8
18,4,11,0.6
19,5,25,0.4
20,5,13,1.0
21,5,18,0.8
22,5,26,0.6
23,6,19,0.4
24,6,2,1.0
25,6,29,0.2
26,6,39,0.8
27,6,33,0.6
28,7,15,0.4
29,7,21,1.0
30,7,37,0.2
31,7,20,0.8
32,7,41,0.6
33,8,3,0.4
34,8,1,1.0
35,8,18,0.2
36,8,30,0.8
37,8,14,0.6
38,9,23,0.4
39,9,41,1.0
40,9,10,0.2
41,9,24,0.8
42,9,38,0.6
43,10,34,0.4
44,10,24,1.0
45,10,9,0.8
46,10,20,0.6
47,12,32,0.4
48,12,40,1.0
49,12,22,0.2
50,12,26,0.8
51,12,27,0.6
52,13,32,0.4
53,13,5,1.0
54,13,3,0.2
55,13,18,0.8
56,13,27,0.6
57,14,18,0.4
58,14,1,1.0
59,14,28,0.2
60,14,30,0.8
61,14,8,0.6
62,15,7,0.4
63,15,17,1.0
64,15,2,0.2
65,15,27,0.8
66,15,35,0.6
67,16,35,0.4
68,16,28,1.0
69,16,35,0.8
70,16,11,0.6
71,18,5,0.4
72,18,26,1.0
73,18,12,0.2
74,18,40,0.8
75,18,11,0.6
76,19,2,0.4
77,19,29,1.0
78,19,33,0.2
79,19,39,0.8
80,19,6,0.6
81,20,10,0.4
82,20,21,1.0
83,20,25,0.2
84,20,7,0.8
85,20,24,0.6
86,21,15,0.4
87,21,7,1.0
88,21,20,0.8
89,21,40,0.6
90,22,36,0.4
91,22,12,1.0
92,22,18,0.2
93,22,26,0.8
94,22,5,0.6
95,23,36,0.4
96,23,24,1.0
97,23,9,0.8
98,23,10,0.6
99,24,9,0.4
100,24,10,1.0
101,24,41,0.2
102,24,34,0.8
103,24,20,0.6
104,25,34,0.4
105,25,40,1.0
106,25,27,0.2
107,25,20,0.8
108,25,26,0.6
109,26,12,1.0
110,26,40,0.8
111,26,5,0.6
112,27,15,0.4
113,27,12,1.0
114,27,25,0.2
115,27,26,0.8
116,27,3,0.6
117,28,6,0.4
118,28,2,1.0
119,28,11,0.2
120,28,16,0.8
121,28,37,0.6
122,29,33,0.4
123,29,19,1.0
124,29,24,0.2
125,29,39,0.8
126,29,6,0.6
127,30,18,0.4
128,30,1,1.0
129,30,8,0.8
130,30,14,0.6
131,31,35,0.4
132,31,4,1.0
133,31,17,0.8
134,31,11,0.6
135,32,12,0.4
136,32,35,1.0
137,32,18,0.2
138,32,27,0.8
139,32,3,0.6
140,33,19,0.4
141,33,37,1.0
142,33,7,0.2
143,33,6,0.8
144,33,2,0.6
145,34,24,1.0
146,34,29,0.8
147,34,38,0.6
148,35,16,0.4
149,35,32,1.0
150,35,40,0.2
151,35,31,0.8
152,35,27,0.6
153,36,37,0.4
154,36,22,1.0
155,36,35,0.2
156,36,16,0.8
157,36,18,0.6
158,37,39,0.4
159,37,33,1.0
160,37,6,0.2
161,37,2,0.8
162,37,28,0.6
163,38,37,0.4
164,38,34,1.0
165,38,7,0.2
166,38,9,0.8
167,38,41,0.6
168,39,6,0.4
169,39,19,1.0
170,39,14,0.2
171,39,37,0.8
172,39,2,0.6
173,40,35,0.4
174,40,26,1.0
175,40,14,0.2
176,40,12,0.8
177,40,27,0.6
178,41,23,0.4
179,41,9,1.0
180,41,14,0.2
181,41,24,0.8
182,41,11,0.6
