"CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected","shared name"
,"0.0","0.0","0",,"false","1 10 11 12 13 14 16 17 18 19 2 20 21 22 23 24 25 26 27 28 29 3 30 31 32 33 34 35 36 37 38 39 4 40 41 5 6 7 8 9","5.322","40","C17026","false","C17026"
,"0.0","0.0","0",,"false","16 18 22 36","2.0","4","C17023","false","C17023"
,"0.0","0.0","0",,"false","10 20 23 24 34 38 41 9","3.0","8","C17019","false","C17019"
,"0.0","0.0","0",,"false","1 14 30 8","2.0","4","C17025","false","C17025"
,"0.0","0.0","0",,"false","25 27 3 32 35","2.322","5","C17015","false","C17015"
,"0.0","0.0","0",,"false","33 37","1.0","2","C17024","false","C17024"
,"0.0","0.0","0",,"false","12 13 26 5","2.0","4","C17016","false","C17016"
,"0.0","0.0","0",,"false","12 13 25 26 27 3 32 35 40 5","3.322","10","C17018","false","C17018"
,"0.0","0.0","0",,"false","40","0.0","1","C17017","false","C17017"
,"0.0","0.0","0",,"false","21 7","1.0","2","C17021","false","C17021"
,"0.0","0.0","0",,"false","11 17 28 31 4","2.322","5","C17022","false","C17022"
,"0.0","0.0","0",,"false","19 2 29 39 6","2.322","5","C17020","false","C17020"
