,source,target,weight
0,2,39,0.4
1,2,6,1.0
2,2,4,0.2
3,2,28,0.8
4,2,19,0.6
5,3,25,0.4
6,3,32,1.0
7,3,26,0.2
8,3,27,0.8
9,3,35,0.6
10,4,11,1.0
11,4,17,0.8
12,4,31,0.6
13,5,12,0.4
14,5,13,1.0
15,5,26,0.8
16,5,25,0.6
17,6,4,0.4
18,6,2,1.0
19,6,29,0.2
20,6,39,0.8
21,6,19,0.6
22,7,21,1.0
23,8,14,0.4
24,8,8,1.0
25,8,1,0.8
26,8,30,0.6
27,9,23,0.4
28,9,41,1.0
29,9,34,0.2
30,9,24,0.8
31,9,38,0.6
32,10,35,0.4
33,10,23,1.0
34,10,27,0.2
35,10,24,0.8
36,10,9,0.6
37,12,5,0.4
38,12,26,1.0
39,12,22,0.2
40,12,40,0.8
41,12,27,0.6
42,13,32,0.4
43,13,5,1.0
44,13,40,0.2
45,13,27,0.8
46,13,3,0.6
47,14,28,0.4
48,14,30,1.0
49,14,2,0.2
50,14,8,0.8
51,14,1,0.6
52,15,21,0.4
53,15,35,1.0
54,15,7,0.8
55,15,27,0.6
56,18,32,0.4
57,18,11,1.0
58,18,22,0.2
59,18,36,0.8
60,18,18,0.6
61,19,2,0.4
62,19,29,1.0
63,19,33,0.2
64,19,6,0.8
65,19,39,0.6
66,20,34,0.4
67,20,24,1.0
68,20,10,0.2
69,20,21,0.8
70,20,25,0.6
71,21,7,1.0
72,22,5,0.4
73,22,18,1.0
74,22,36,0.8
75,22,25,0.6
76,23,10,0.4
77,23,24,1.0
78,23,9,0.8
79,23,41,0.6
80,24,9,0.4
81,24,34,1.0
82,24,1,0.2
83,24,10,0.8
84,24,41,0.6
85,25,3,0.4
86,25,27,1.0
87,25,34,0.2
88,25,22,0.8
89,25,20,0.6
90,26,27,0.4
91,26,40,1.0
92,26,12,0.8
93,26,5,0.6
94,27,13,0.4
95,27,25,1.0
96,27,40,0.2
97,27,32,0.8
98,27,3,0.6
99,28,16,0.4
100,28,11,1.0
101,28,2,0.2
102,28,31,0.8
103,28,37,0.6
104,29,34,0.4
105,29,19,1.0
106,29,2,0.2
107,29,6,0.8
108,29,39,0.6
109,30,11,0.4
110,30,4,1.0
111,30,17,0.8
112,30,35,0.6
113,31,14,0.4
114,31,4,1.0
115,31,11,0.2
116,31,17,0.8
117,31,35,0.6
118,32,26,0.4
119,32,3,1.0
120,32,12,0.2
121,32,27,0.8
122,32,35,0.6
123,33,29,0.4
124,33,37,1.0
125,33,19,0.2
126,33,6,0.8
127,33,3,0.6
128,34,38,0.4
129,34,24,1.0
130,34,10,0.8
131,34,20,0.6
132,35,31,0.4
133,35,32,1.0
134,35,40,0.2
135,35,27,0.8
136,35,3,0.6
137,36,22,0.4
138,36,16,1.0
139,36,18,0.8
140,36,11,0.6
141,37,39,0.4
142,37,27,1.0
143,37,35,0.2
144,37,2,0.8
145,37,33,0.6
146,38,41,0.4
147,38,7,1.0
148,38,34,0.2
149,38,37,0.8
150,38,33,0.6
151,39,2,0.4
152,39,6,1.0
153,39,29,0.2
154,39,19,0.8
155,39,37,0.6
156,41,38,0.4
157,41,9,1.0
158,41,34,0.2
159,41,24,0.8
160,41,23,0.6
