,source,target,direction,intensity,lang_usage
41,2,39,in,4,3
44,2,6,out,5,7
47,2,14,in,3,4
50,2,31,in,3,6
52,2,19,in,3,4
55,2,1,out,4,5
58,2,35,in,3,3
60,2,30,in,3,5
62,2,28,in,4,4
74,3,32,in,5,3
78,3,8,out,4,8
79,3,27,in,5,4
80,3,22,out,3,5
82,3,37,in,3,5
86,3,33,out,3,5
88,3,15,in,5,3
90,3,25,out,4,8
95,3,26,out,4,6
97,3,21,out,4,6
98,3,12,out,3,7
100,3,18,out,4,5
104,3,17,out,3,5
106,3,5,in,3,3
111,3,40,out,4,7
112,3,13,out,4,7
113,3,20,out,4,8
114,4,40,mutual,5,3
118,5,41,out,5,5
136,5,26,out,5,3
138,5,12,out,5,4
153,6,40,mutual,5,4
157,7,37,in,4,5
160,7,33,in,4,5
166,7,38,out,4,3
169,8,40,mutual,5,5
170,9,32,in,4,5
171,9,39,in,3,4
172,9,34,in,4,3
178,9,11,out,4,4
186,9,36,in,4,4
203,10,32,in,3,7
205,10,34,out,3,5
213,10,14,in,3,4
220,10,9,out,3,6
221,10,1,in,3,4
222,10,36,in,3,5
229,10,18,out,3,6
232,10,16,out,3,7
237,10,24,out,4,6
242,10,20,out,3,4
320,14,39,in,4,5
323,14,8,out,4,3
326,14,6,in,3,4
331,14,31,in,4,6
332,14,19,in,3,3
335,14,1,in,5,4
338,14,35,in,4,5
341,14,30,in,5,7
343,14,28,in,4,5
346,14,2,in,4,6
356,15,40,mutual,5,3
373,18,9,in,3,4
388,18,10,in,3,4
393,19,39,out,5,3
404,19,31,out,4,3
407,19,1,in,4,3
410,19,35,in,4,3
413,19,30,out,3,3
415,19,28,in,4,3
418,19,2,out,5,3
430,20,34,out,4,3
463,20,3,in,3,3
464,20,40,out,3,4
474,21,40,mutual,5,6
478,22,41,in,4,4
493,22,36,mutual,5,3
495,22,26,mutual,5,5
498,22,12,mutual,5,4
506,22,5,mutual,5,4
516,23,40,mutual,5,7
522,24,27,in,3,3
551,24,10,in,5,3
570,25,25,out,5,5
571,25,9,out,3,3
589,25,3,in,4,7
592,25,20,in,3,7
593,26,40,mutual,5,8
594,27,40,mutual,5,9
596,28,39,in,3,5
601,28,6,in,3,5
602,28,37,mutual,3,5
604,28,14,out,3,3
608,28,19,in,3,6
623,28,2,in,3,4
700,31,11,mutual,3,3
720,31,40,mutual,5,3
737,32,10,in,3,9
748,33,37,in,5,3
766,33,7,out,4,3
804,34,13,out,5,3
844,36,9,in,3,7
849,36,16,out,5,5
852,36,10,out,3,7
856,37,39,mutual,4,4
865,37,33,mutual,5,5
866,37,31,mutual,3,4
877,37,7,out,4,5
888,38,34,mutual,5,5
892,38,37,mutual,5,3
893,38,33,mutual,5,3
895,38,9,mutual,4,5
900,38,7,mutual,5,3
905,38,20,out,3,3
906,39,32,in,3,3
913,39,6,out,5,5
914,39,37,out,5,6
916,39,14,in,4,7
918,39,33,in,4,3
919,39,31,in,4,7
921,39,19,out,5,6
922,39,25,in,3,3
923,39,9,in,3,3
924,39,1,in,4,7
927,39,35,in,4,7
930,39,30,out,4,8
932,39,28,in,4,7
935,39,2,out,5,5
940,39,10,out,3,3
