,source,target,direction,intensity,lang_usage
37,2,39,mutual,5,4
40,2,6,out,4,3
43,2,14,in,4,3
46,2,31,in,4,4
48,2,19,in,5,4
51,2,1,out,4,5
55,2,35,in,4,4
57,2,30,out,4,7
59,2,28,out,4,5
67,2,40,mutual,5,8
70,3,32,in,3,5
81,3,33,in,4,7
83,3,15,in,4,6
88,3,36,out,3,3
90,3,26,out,3,8
93,3,12,out,3,6
97,3,7,out,4,7
101,3,5,in,3,8
107,3,13,out,3,3
111,4,34,out,3,7
112,4,27,in,4,7
116,4,29,out,4,4
118,4,31,out,3,3
123,4,17,in,5,5
125,4,24,out,4,9
128,4,13,out,4,9
132,5,41,mutual,5,9
135,5,22,in,5,6
153,5,12,mutual,5,7
170,6,39,out,5,5
173,6,37,in,4,3
175,6,14,out,5,5
178,6,31,in,5,5
180,6,19,out,5,5
184,6,35,out,5,5
186,6,30,out,4,5
187,6,18,out,4,3
188,6,28,in,5,5
191,6,2,out,5,3
206,7,37,in,4,6
210,7,33,in,4,6
221,7,21,in,5,3
230,7,38,out,4,6
247,8,25,mutual,4,6
249,8,1,mutual,5,3
251,8,21,in,4,8
252,8,30,out,5,3
260,8,24,in,3,9
263,8,3,mutual,4,4
266,8,20,out,4,6
267,9,32,in,4,6
274,9,11,in,4,4
283,9,36,in,4,5
288,9,18,mutual,3,6
291,9,16,out,4,4
298,9,10,out,5,3
303,10,32,out,3,5
305,10,34,in,3,3
312,10,11,in,4,3
322,10,36,in,3,6
329,10,18,out,3,5
332,10,16,in,4,5
337,10,24,out,5,3
404,13,40,mutual,5,8
407,14,39,in,3,7
409,14,8,in,4,4
417,14,31,out,3,6
422,14,1,in,4,4
424,14,35,out,3,6
427,14,30,in,4,4
428,14,18,in,3,3
431,14,2,in,3,3
484,16,36,in,3,3
488,16,28,in,3,4
493,16,40,mutual,5,8
532,19,39,mutual,5,3
542,19,29,mutual,5,4
548,19,1,mutual,4,4
571,20,34,out,4,5
573,20,8,out,3,5
585,20,25,in,3,4
592,20,21,in,5,3
597,20,7,out,5,3
606,20,3,in,3,5
607,20,40,out,3,4
611,21,8,out,4,8
613,21,14,out,4,5
616,21,31,out,5,4
619,21,25,out,5,7
620,21,1,out,3,5
627,21,7,out,5,4
628,21,16,out,3,3
629,21,17,out,3,5
632,21,24,out,3,3
634,21,10,out,3,5
636,21,40,out,5,5
641,22,41,in,4,4
658,22,26,mutual,5,4
661,22,12,mutual,5,4
669,22,5,mutual,5,4
680,23,11,in,3,3
684,23,36,in,3,3
732,25,34,out,4,3
734,25,8,out,4,7
735,25,27,in,5,3
742,25,33,in,3,3
752,25,21,in,4,5
766,25,3,in,4,6
767,25,40,mutual,5,6
769,25,20,out,4,5
779,26,25,out,4,3
789,26,5,mutual,5,3
793,26,40,mutual,5,9
836,28,39,out,3,6
839,28,6,out,3,6
840,28,37,in,4,5
841,28,14,out,3,5
844,28,31,in,3,5
846,28,1,in,3,6
848,28,35,out,4,6
851,28,16,out,4,4
853,28,2,in,4,4
855,28,40,mutual,5,8
858,29,34,mutual,4,3
893,30,40,mutual,5,8
900,31,14,mutual,4,3
906,31,1,mutual,3,3
921,31,40,mutual,5,8
952,33,37,in,4,4
971,33,7,out,3,4
986,34,27,in,3,3
991,34,29,in,5,3
1004,34,17,in,5,3
1012,34,20,out,3,3
1043,36,32,in,3,8
1047,36,37,out,3,3
1048,36,11,in,4,6
1052,36,9,in,3,7
1057,36,18,in,4,5
1059,36,16,out,5,4
1063,36,23,in,3,6
1064,36,10,out,3,6
1068,37,39,out,5,4
1077,37,33,mutual,5,5
1089,37,28,mutual,3,3
1090,37,7,out,4,6
1092,37,2,mutual,5,3
1094,37,38,out,3,3
1099,38,34,mutual,5,4
1102,38,37,mutual,5,9
1104,38,33,mutual,5,9
1107,38,9,mutual,5,4
1109,38,7,mutual,5,9
1121,39,6,out,5,5
1123,39,14,out,4,6
1124,39,29,in,4,3
1126,39,31,in,4,6
1128,39,19,out,5,6
1130,39,9,out,3,3
1131,39,1,in,4,8
1136,39,30,out,4,8
1138,39,28,out,4,8
1140,39,2,out,5,5
1152,40,27,mutual,4,8
1163,40,25,mutual,5,5
1168,40,26,mutual,4,8
