,source,target,weight,intensity,lang_usage
0,1,30,1.0,5.0,4.0
3,1,14,0.6,5.0,3.0
6,2,28,0.2,5.0,3.0
7,2,39,0.4,4.0,3.0
8,2,19,0.6,3.0,3.0
9,2,6,0.8,5.0,3.0
10,3,15,1.0,5.0,3.0
12,3,35,0.4,5.0,4.0
13,3,27,0.6,5.0,3.0
14,3,32,0.8,5.0,4.0
15,4,31,1.0,4.0,4.0
18,4,17,0.8,3.0,4.0
36,8,14,0.6,5.0,3.0
43,10,24,1.0,5.0,3.0
46,10,9,0.8,5.0,3.0
57,14,1,1.0,5.0,4.0
58,14,28,0.2,5.0,4.0
60,14,8,0.6,5.0,4.0
62,15,17,1.0,5.0,3.0
66,15,27,0.8,3.0,3.0
69,16,11,0.6,3.0,4.0
74,18,11,0.6,5.0,3.0
78,19,2,0.4,5.0,3.0
79,19,6,0.6,5.0,3.0
80,19,39,0.8,5.0,4.0
81,20,21,1.0,5.0,3.0
82,20,25,0.2,4.0,3.0
85,20,7,0.8,5.0,3.0
89,21,20,0.8,4.0,3.0
90,22,12,1.0,5.0,4.0
93,22,5,0.6,5.0,4.0
94,22,26,0.8,5.0,4.0
96,23,36,0.4,3.0,4.0
98,23,9,0.8,4.0,3.0
99,24,10,1.0,5.0,4.0
103,24,34,0.8,5.0,3.0
117,28,2,1.0,5.0,3.0
119,28,6,0.4,4.0,4.0
136,32,18,0.2,5.0,3.0
162,37,2,0.8,4.0,4.0
171,39,2,0.6,5.0,4.0
