,metric_TLuseoutofclass,metric_Gender,metric_postsojournOPI,metric_presojournOPI,metric_level gained,metric_FLcumulativecompetence,metric_general_cumulativecompet,context_learningoutofclassminday,psycho_motivationdegree,psycho_proficiencyingroup_BAL1,interact_classmates,interaction_groupintegration,improv_reading,improv_writing,improv_overall,improv_pron,improv_listening,improv_voc,improv_cult,improv_gmr,in_degree_weighted,in_degree,out_degree_weighted,out_degree,degree_weighted,degree,betweenness_weighted,betweenness,closeness,pagerank_weighhted,pagerank,voterank,clustering_coefficient
1,0.75,male,0.7272727272727273,0.5454545454545454,0.18181818181818182,15.0,21.0,0.041666666666666664,1.0,0.3333333333333333,0.8,0.8,1.0,0.8,0.8,0.4,,1.0,0.6,1.0,38,8,0,0,38,8,0.0,0.0,0.30405405405405406,0.028604916361063385,0.03230197309368764,,0.42857142857142855
2,1.0,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,6.0,12.0,0.16666666666666666,0.8,0.6666666666666666,0.6,0.8,0.8,0.2,0.4,0.6,,0.6,1.0,0.0,18,5,47,10,65,15,0.08408119658119657,0.030243992118992126,0.2533132530120482,0.018759496518507557,0.022601248532051532,7.0,0.43564356435643564
3,1.0,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,3.0,9.0,0.0625,0.8,0.6666666666666666,0.2,0.6,0.8,0.6,0.8,0.6,,1.0,0.8,0.2,15,3,53,9,68,12,0.11538461538461539,0.1141422466422466,0.25029761904761905,0.01987158338402716,0.019061843637195108,2.0,0.10606060606060606
4,0.15789473684210525,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,6.0,12.0,0.125,0.8,1.0,0.85,0.8,0.6,0.8,0.8,0.6,,1.0,1.0,0.2,0,0,44,7,44,7,0.0,0.0,0.0,0.008488817325278156,0.008547739608206907,5.0,0.09523809523809523
5,0.2727272727272727,male,0.6363636363636364,0.6363636363636364,0.0,3.0,9.0,0.125,1.0,0.6666666666666666,0.7,0.8,1.0,0.6,0.8,0.6,,0.6,1.0,0.8,15,3,22,3,37,6,0.03653846153846154,0.039230769230769236,0.2260752688172043,0.02113064094445014,0.023000577521914266,13.0,0.2857142857142857
6,0.5,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,5.0,11.0,0.125,0.8,0.6666666666666666,0.6,0.4,0.6,0.8,0.6,0.6,,0.8,1.0,0.4,14,3,44,10,58,13,0.01282051282051282,0.007506174381174383,0.20023809523809524,0.013549683894995314,0.014858201399839299,1.0,0.44666666666666666
7,0.5,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,8.0,14.0,0.1388888888888889,1.0,0.6666666666666666,0.6,0.6,1.0,0.8,0.8,0.6,,0.8,1.0,0.6,33,6,21,4,54,10,0.023824786324786323,0.04474772912272911,0.2766447368421053,0.04528540400819105,0.039345335714740234,,0.3048780487804878
8,0.4,female,0.6363636363636364,0.45454545454545453,0.18181818181818182,6.0,12.0,0.041666666666666664,0.4,0.6666666666666666,0.5,0.8,0.6,0.4,0.6,0.6,,0.8,0.8,0.4,24,4,39,7,63,11,0.06784188034188035,0.05240740740740741,0.2803333333333333,0.02378764601692441,0.021202631350120207,16.0,0.3076923076923077
9,1.0,female,0.7272727272727273,0.36363636363636365,0.36363636363636365,8.5,14.5,0.16666666666666666,0.6,0.6666666666666666,0.7,0.6,0.8,0.8,0.6,0.6,,0.6,0.8,0.4,14,3,28,6,42,9,0.028098290598290596,0.028956876456876456,0.24735294117647058,0.014839952741025536,0.01730781754238529,15.0,0.2571428571428571
10,1.0,female,0.45454545454545453,0.36363636363636365,0.09090909090909091,3.0,9.0,0.06944444444444445,1.0,1.0,0.8,0.8,0.2,0.8,0.8,0.6,,0.6,0.8,0.4,14,3,30,7,44,10,0.04209401709401709,0.027752109002108998,0.2628125,0.014257854193731954,0.015786761193319825,8.0,0.22727272727272727
