,metric_TLuseoutofclass,metric_Gender,metric_postsojournOPI,metric_presojournOPI,metric_level gained,metric_FLcumulativecompetence,metric_general_cumulativecompet,context_learningoutofclassminday,psycho_motivationdegree,psycho_proficiencyingroup_BAL1,interact_classmates,interaction_groupintegration,improv_reading,improv_writing,improv_overall,improv_pron,improv_listening,improv_voc,improv_cult,improv_gmr,in_degree_weighted,in_degree,out_degree_weighted,out_degree,degree_weighted,degree,betweenness_weighted,betweenness,closeness,pagerank_weighhted,pagerank,voterank,clustering_coefficient
2,0.8571428571428571,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,3.0,9.0,0.0625,0.8,0.6666666666666666,0.33,0.8,0.6,0.6,0.6,0.4,0.6,0.6,0.8,0.6,0.6000000000000001,2,1.0,1,1.6,3,0.002631578947368421,0.002631578947368421,0.1,0.03999811149926808,0.0479929803225752,,0.16666666666666666
3,1.0,male,0.5454545454545454,0.45454545454545453,0.09090909090909091,6.0,12.0,0.08333333333333333,0.8,0.6666666666666666,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,1,0.2,1,0.6000000000000001,2,0.002631578947368421,0.002631578947368421,0.05,0.04365750476065632,0.04572033394495598,4.0,0.0
6,0.25,female,0.6363636363636364,0.45454545454545453,0.18181818181818182,8.0,14.0,0.0625,1.0,0.6666666666666666,0.6,0.2,0.6,1.0,0.8,0.6,0.8,0.8,1.0,0.6,2.0,2,0.0,0,2.0,2,0.0,0.0,0.11249999999999999,0.0764690591697583,0.07969609402205417,,0.5
9,0.972972972972973,female,0.45454545454545453,0.36363636363636365,0.09090909090909091,3.0,9.0,0.1388888888888889,0.8,0.6666666666666666,0.5,0.6,0.6,0.4,0.6,0.4,0.6,0.8,0.8,0.4,0.6,1,0.0,0,0.6,1,0.0,0.0,0.05,0.04444872492528081,0.04572033394495598,,0.0
10,,female,0.7272727272727273,0.6363636363636364,0.09090909090909091,7.0,13.0,0.10416666666666667,,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.6,1.0,0.8,0.6,0.0,0,1.4,2,1.4,2,0.0,0.0,0.0,0.032580422455913534,0.03208445567924071,1.0,0.0
14,,male,0.6363636363636364,0.5454545454545454,0.09090909090909091,11.0,17.0,,,,,,,,,,,,,,0.0,0,1.6,3,1.6,3,0.0,0.0,0.0,0.032580422455913534,0.03208445567924071,2.0,0.0
16,0.23076923076923078,male,0.5454545454545454,0.45454545454545453,0.09090909090909091,3.0,9.0,0.020833333333333332,0.6,0.3333333333333333,0.7,0.8,0.8,0.6,0.4,0.2,0.4,0.8,0.8,0.4,1.0,1,0.0,0,1.0,1,0.0,0.0,0.05,0.06027312821777051,0.059356212210671264,,0.0
19,0.5,female,0.6363636363636364,0.5454545454545454,0.09090909090909091,5.0,11.0,0.0625,0.4,0.3333333333333333,0.7,1.0,0.2,0.4,0.2,0.0,0.2,0.0,0.6,0.0,0.8,1,0.0,0,0.8,1,0.0,0.0,0.05,0.040492624102158384,0.03890239481209834,,0.0
20,0.3333333333333333,female,0.5454545454545454,0.36363636363636365,0.18181818181818182,3.0,9.0,0.1111111111111111,0.8,,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.6,0.2,0.6,1,0.0,0,0.6,1,0.0,0.0,0.05,0.049196045913027724,0.04572033394495598,,0.0
24,1.0,male,0.7272727272727273,0.5454545454545454,0.18181818181818182,3.0,9.0,0.08333333333333333,0.6,0.6666666666666666,0.6,0.8,0.6,0.2,0.6,0.6,1.0,0.8,0.8,0.4,0.8,1,0.0,0,0.8,1,0.0,0.0,0.05,0.04840482574840324,0.04572033394495598,,0.0
