,source,target,weight
0,1,30,1.0
1,1,31,0.2
2,1,24,0.4
3,1,14,0.6
4,1,8,0.8
5,2,37,1.0
6,2,28,0.2
7,2,39,0.4
8,2,19,0.6
9,2,6,0.8
10,3,15,1.0
11,3,25,0.2
12,3,35,0.4
13,3,27,0.6
14,3,32,0.8
15,4,31,1.0
16,4,29,0.2
17,4,11,0.6
18,4,17,0.8
19,5,13,1.0
20,5,25,0.4
21,5,26,0.6
22,5,18,0.8
23,6,2,1.0
24,6,29,0.2
25,6,19,0.4
26,6,33,0.6
27,6,39,0.8
28,7,21,1.0
29,7,37,0.2
30,7,15,0.4
31,7,41,0.6
32,7,20,0.8
33,8,1,1.0
34,8,18,0.2
35,8,3,0.4
36,8,14,0.6
37,8,30,0.8
38,9,41,1.0
39,9,10,0.2
40,9,23,0.4
41,9,38,0.6
42,9,24,0.8
43,10,24,1.0
44,10,34,0.4
45,10,20,0.6
46,10,9,0.8
47,12,40,1.0
48,12,22,0.2
49,12,32,0.4
50,12,27,0.6
51,12,26,0.8
52,13,5,1.0
53,13,3,0.2
54,13,32,0.4
55,13,27,0.6
56,13,18,0.8
57,14,1,1.0
58,14,28,0.2
59,14,18,0.4
60,14,8,0.6
61,14,30,0.8
62,15,17,1.0
63,15,2,0.2
64,15,7,0.4
65,15,35,0.6
66,15,27,0.8
67,16,28,1.0
68,16,35,0.4
69,16,11,0.6
70,16,35,0.8
71,18,26,1.0
72,18,12,0.2
73,18,5,0.4
74,18,11,0.6
75,18,40,0.8
76,19,29,1.0
77,19,33,0.2
78,19,2,0.4
79,19,6,0.6
80,19,39,0.8
81,20,21,1.0
82,20,25,0.2
83,20,10,0.4
84,20,24,0.6
85,20,7,0.8
86,21,7,1.0
87,21,15,0.4
88,21,40,0.6
89,21,20,0.8
90,22,12,1.0
91,22,18,0.2
92,22,36,0.4
93,22,5,0.6
94,22,26,0.8
95,23,24,1.0
96,23,36,0.4
97,23,10,0.6
98,23,9,0.8
99,24,10,1.0
100,24,41,0.2
101,24,9,0.4
102,24,20,0.6
103,24,34,0.8
104,25,40,1.0
105,25,27,0.2
106,25,34,0.4
107,25,26,0.6
108,25,20,0.8
109,26,12,1.0
110,26,5,0.6
111,26,40,0.8
112,27,12,1.0
113,27,25,0.2
114,27,15,0.4
115,27,3,0.6
116,27,26,0.8
117,28,2,1.0
118,28,11,0.2
119,28,6,0.4
120,28,37,0.6
121,28,16,0.8
122,29,19,1.0
123,29,24,0.2
124,29,33,0.4
125,29,6,0.6
126,29,39,0.8
127,30,1,1.0
128,30,18,0.4
129,30,14,0.6
130,30,8,0.8
131,31,4,1.0
132,31,35,0.4
133,31,11,0.6
134,31,17,0.8
135,32,35,1.0
136,32,18,0.2
137,32,12,0.4
138,32,3,0.6
139,32,27,0.8
140,33,37,1.0
141,33,7,0.2
142,33,19,0.4
143,33,2,0.6
144,33,6,0.8
145,34,24,1.0
146,34,38,0.6
147,34,29,0.8
148,35,32,1.0
149,35,40,0.2
150,35,16,0.4
151,35,27,0.6
152,35,31,0.8
153,36,22,1.0
154,36,35,0.2
155,36,37,0.4
156,36,18,0.6
157,36,16,0.8
158,37,33,1.0
159,37,6,0.2
160,37,39,0.4
161,37,28,0.6
162,37,2,0.8
163,38,34,1.0
164,38,7,0.2
165,38,37,0.4
166,38,41,0.6
167,38,9,0.8
168,39,19,1.0
169,39,14,0.2
170,39,6,0.4
171,39,2,0.6
172,39,37,0.8
173,40,26,1.0
174,40,14,0.2
175,40,35,0.4
176,40,27,0.6
177,40,12,0.8
178,41,9,1.0
179,41,14,0.2
180,41,23,0.4
181,41,11,0.6
182,41,24,0.8
