,source,target,weight,intensity,lang_usage
2,1,24,0.4,4.0,0.0
3,1,8,0.8,5.0,2.0
4,1,31,0.2,3.0,0.0
6,2,37,1.0,4.0,0.0
15,4,11,0.6,2.0,1.0
18,4,29,0.2,3.0,1.0
20,5,13,1.0,5.0,1.0
21,5,25,0.4,5.0,0.0
22,5,18,0.8,5.0,1.0
28,7,41,0.6,4.0,0.0
29,7,21,1.0,5.0,1.0
30,7,15,0.4,5.0,0.0
31,7,20,0.8,5.0,1.0
34,8,1,1.0,5.0,2.0
37,8,18,0.2,3.0,2.0
38,9,38,0.6,4.0,0.0
39,9,41,1.0,5.0,1.0
40,9,23,0.4,4.0,1.0
41,9,24,0.8,4.0,2.0
42,9,10,0.2,3.0,0.0
43,10,20,0.6,4.0,1.0
45,10,34,0.4,3.0,2.0
47,12,27,0.6,5.0,1.0
48,12,40,1.0,5.0,1.0
49,12,32,0.4,5.0,1.0
50,12,26,0.8,5.0,1.0
51,12,22,0.2,5.0,1.0
52,13,27,0.6,5.0,0.0
53,13,5,1.0,5.0,0.0
54,13,32,0.4,4.0,0.0
55,13,18,0.8,5.0,0.0
56,13,3,0.2,4.0,0.0
59,14,18,0.4,4.0,1.0
62,15,35,0.6,3.0,0.0
64,15,7,0.4,4.0,0.0
66,15,2,0.2,4.0,0.0
68,16,28,1.0,3.0,2.0
69,16,35,0.4,3.0,0.0
70,16,35,0.8,3.0,0.0
72,18,26,1.0,5.0,0.0
73,18,5,0.4,5.0,0.0
74,18,40,0.8,5.0,0.0
75,18,12,0.2,5.0,0.0
77,19,29,1.0,5.0,2.0
80,19,33,0.2,4.0,0.0
81,20,24,0.6,4.0,0.0
83,20,10,0.4,4.0,1.0
86,21,40,0.6,3.0,2.0
87,21,7,1.0,5.0,2.0
88,21,15,0.4,4.0,1.0
92,22,36,0.4,5.0,2.0
94,22,18,0.2,5.0,2.0
95,23,10,0.6,3.0,0.0
96,23,24,1.0,4.0,0.0
99,24,20,0.6,4.0,1.0
101,24,9,0.4,4.0,2.0
103,24,41,0.2,4.0,2.0
104,25,26,0.6,3.0,1.0
106,25,34,0.4,2.0,2.0
108,25,27,0.2,3.0,2.0
110,26,12,1.0,5.0,1.0
117,28,37,0.6,4.0,0.0
122,29,6,0.6,4.0,1.0
123,29,19,1.0,5.0,1.0
124,29,33,0.4,4.0,0.0
125,29,39,0.8,4.0,1.0
126,29,24,0.2,4.0,0.0
131,31,11,0.6,3.0,0.0
132,31,4,1.0,4.0,1.0
133,31,35,0.4,4.0,0.0
135,32,3,0.6,4.0,0.0
136,32,35,1.0,5.0,0.0
138,32,27,0.8,5.0,0.0
140,33,2,0.6,4.0,2.0
142,33,19,0.4,4.0,1.0
143,33,6,0.8,4.0,1.0
145,34,38,0.6,5.0,0.0
146,34,24,1.0,4.0,2.0
147,34,29,0.8,4.0,2.0
148,35,27,0.6,3.0,0.0
149,35,32,1.0,4.0,0.0
150,35,16,0.4,2.0,0.0
151,35,31,0.8,3.0,0.0
152,35,40,0.2,3.0,0.0
154,36,22,1.0,5.0,1.0
155,36,37,0.4,3.0,2.0
157,36,35,0.2,3.0,0.0
158,37,28,0.6,5.0,2.0
162,37,6,0.2,4.0,1.0
163,38,41,0.6,4.0,0.0
173,40,27,0.6,3.0,0.0
175,40,35,0.4,2.0,0.0
176,40,12,0.8,5.0,0.0
177,40,14,0.2,2.0,0.0
178,41,11,0.6,3.0,0.0
179,41,9,1.0,5.0,0.0
180,41,23,0.4,3.0,0.0
181,41,24,0.8,4.0,0.0
182,41,14,0.2,3.0,0.0
