,source,target,weight,intensity,lang_usage
4,2,4,0.2,4.0,2.0
5,3,35,0.6,5.0,2.0
13,5,25,0.6,5.0,0.0
14,5,13,1.0,5.0,1.0
22,7,21,1.0,5.0,2.0
27,9,38,0.6,4.0,0.0
28,9,41,1.0,5.0,2.0
29,9,23,0.4,4.0,2.0
30,9,24,0.8,5.0,2.0
34,10,35,0.4,0.0,0.0
37,12,27,0.6,5.0,1.0
38,12,26,1.0,5.0,1.0
39,12,5,0.4,5.0,0.0
40,12,40,0.8,5.0,1.0
41,12,22,0.2,5.0,1.0
42,13,3,0.6,4.0,0.0
43,13,5,1.0,5.0,0.0
44,13,32,0.4,4.0,0.0
45,13,27,0.8,4.0,0.0
46,13,40,0.2,4.0,0.0
57,18,11,1.0,5.0,2.0
58,18,32,0.4,4.0,0.0
59,18,36,0.8,5.0,2.0
60,18,22,0.2,5.0,0.0
62,19,29,1.0,5.0,0.0
64,19,6,0.8,5.0,2.0
65,19,33,0.2,4.0,0.0
66,20,25,0.6,5.0,2.0
67,20,24,1.0,5.0,0.0
69,20,21,0.8,4.0,1.0
70,20,10,0.2,3.0,0.0
71,21,7,1.0,5.0,1.0
72,22,25,0.6,5.0,2.0
73,22,18,1.0,5.0,2.0
80,24,41,0.6,4.0,2.0
81,24,34,1.0,5.0,2.0
82,24,9,0.4,4.0,2.0
84,24,1,0.2,4.0,1.0
86,25,27,1.0,5.0,1.0
88,25,22,0.8,4.0,0.0
89,25,34,0.2,4.0,1.0
100,28,11,1.0,4.0,0.0
101,28,16,0.4,2.0,2.0
104,29,39,0.6,4.0,1.0
105,29,19,1.0,5.0,1.0
106,29,34,0.4,4.0,1.0
107,29,6,0.8,4.0,0.0
108,29,2,0.2,4.0,1.0
109,30,35,0.6,4.0,0.0
110,30,4,1.0,4.0,0.0
111,30,11,0.4,4.0,0.0
112,30,17,0.8,4.0,2.0
113,31,35,0.6,3.0,0.0
114,31,4,1.0,5.0,1.0
115,31,14,0.4,4.0,2.0
116,31,17,0.8,4.0,2.0
118,32,35,0.6,5.0,0.0
119,32,3,1.0,5.0,0.0
121,32,27,0.8,5.0,0.0
122,32,12,0.2,4.0,0.0
123,33,3,0.6,3.0,0.0
125,33,29,0.4,3.0,0.0
126,33,6,0.8,3.0,0.0
127,33,19,0.2,3.0,1.0
128,34,20,0.6,5.0,1.0
129,34,24,1.0,5.0,1.0
130,34,38,0.4,4.0,0.0
131,34,10,0.8,5.0,0.0
132,35,3,0.6,4.0,0.0
133,35,32,1.0,5.0,0.0
134,35,31,0.4,4.0,0.0
135,35,27,0.8,4.0,0.0
136,35,40,0.2,4.0,0.0
137,36,11,0.6,4.0,0.0
139,36,22,0.4,5.0,1.0
140,36,18,0.8,5.0,0.0
142,37,27,1.0,1.0,0.0
144,37,2,0.8,5.0,2.0
145,37,35,0.2,4.0,0.0
148,38,41,0.4,4.0,2.0
155,39,29,0.2,5.0,0.0
156,41,23,0.6,4.0,0.0
157,41,9,1.0,5.0,0.0
158,41,38,0.4,4.0,0.0
159,41,24,0.8,5.0,0.0
160,41,34,0.2,3.0,0.0
